,Date,Year,Month,Week_ofday,League_ID,League,team1,team2,spi_1,spi_2,prob_1,prob_2,prob_0,importance1,importance2,DEF_spi_x,OFF_spi_x,DETAIL_spi_x,OVRL_spi_x,Avg_Age_x,Total_marketcap_x,Value_per_year_x,DEF_spi_y,OFF_spi_y,DETAIL_spi_y,OVRL_spi_y,Avg_Age_y,Total_marketcap_y,Value_per_year_y,point_team1,point_team2,rolling5_team1,rolling5_team2,scor_diff
1365,2021-11-20,2021,11,5,1854,Serie A,Fiorentina,AC Milan,68.31,75.16,0.3005,0.4243,0.2752,29.0,54.5,0.480611333087,0.4260501140071874,0.4373954727891153,0.37313140186710037,26.2,229000000.0,0.07927927927927929,0.4239767720833192,0.4903193334324252,0.5849542790151442,0.5501005216580175,26.7,569000000.0,0.41633728590250324,3.0,0.0,9.0,17.5,1
1366,2021-11-20,2021,11,5,2411,Premier League,Newcastle,Brentford,61.0,69.45,0.3583,0.3789,0.2628,47.5,24.5,0.46345068793857885,0.46683633776771627,0.6301386601133117,0.5552385257447326,28.1,447000000.0,-0.005139500734214393,0.33152804382658646,0.2554805857682774,0.4357101473674292,0.436231793758177,26.3,305000000.0,0.46719160104986884,1.0,1.5,1.0,11.0,0
1367,2021-11-20,2021,11,5,1869,LaLiga,Barcelona,Espanyol,82.68,63.15,0.7191,0.1011,0.1798,66.1,19.3,0.4897386766668217,0.6329393126723406,0.7434268187452063,0.6250177136477165,26.1,799000000.0,0.21922544951590597,0.4804356970746437,0.2034067506891809,0.2884988855692911,0.32222888274564565,26.2,90000000.0,0.5757575757575757,3.0,0.0,9.0,3.0,1
1368,2021-11-20,2021,11,5,1843,Ligue 1,Paris Saint-Germain,Nantes,81.85,58.75,0.7338,0.1002,0.166,44.3,16.8,0.4329970722216538,0.774828502540733,0.3356689125085822,0.7559182053646931,25.9,889000000.0,0.07260273972602738,0.5891191416005727,0.260967945399655,0.30476503509464287,0.3638943504884731,26.3,99000000.0,0.4523809523809524,3.0,0.0,15.0,9.5,2
1369,2021-11-20,2021,11,5,2411,Premier League,Leicester,Chelsea,73.71,89.51,0.2046,0.564,0.2315,23.2,55.5,0.4518362459363439,0.30635685791099376,0.26713568263269505,0.4771595024032838,27.9,428000000.0,0.05860805860805862,0.5010387646401886,0.2703261425203325,0.2603211216064911,0.33161277103696746,27.2,846000000.0,0.039189784236019376,0.0,4.0,6.0,17.5,-3
1370,2021-11-20,2021,11,5,1845,Bundesliga,Bayer Leverkusen,Bochum,74.89,61.63,0.6058,0.1593,0.2349,57.8,24.2,0.3913257837154841,0.39841580777574664,0.2897130914772995,0.4575995258879012,25.0,417000000.0,0.23633879781420766,0.32590026940486777,0.21784351114781217,0.20741589930984797,0.32545535757329286,25.55,50000000.0,0.32,3.0,0.0,6.0,0.0,1
1371,2021-11-20,2021,11,5,1845,Bundesliga,Borussia Dortmund,VfB Stuttgart,80.1,62.94,0.659,0.1495,0.1916,53.6,27.2,0.49731290097045355,0.48853730710583093,0.5659618118777248,0.4592448299586314,25.0,508000000.0,0.16617502458210423,0.4157751849736531,0.3804482845646766,0.5750378167113396,0.3496323985615235,23.4,124000000.0,0.5652173913043478,3.0,0.0,15.0,4.5,1
1372,2021-11-20,2021,11,5,1845,Bundesliga,Hoffenheim,RB Leipzig,71.06,84.06,0.25,0.5165,0.2335,36.5,59.3,0.35445723897680304,0.35476627718971715,0.43898454752354316,0.40644769615985954,26.1,163000000.0,0.321285140562249,0.4799694257488928,0.4969686080898346,0.5049892039513518,0.574922998724844,25.8,480000000.0,0.2916666666666667,3.0,0.0,10.0,3.0,2
1373,2021-11-20,2021,11,5,1854,Serie A,Atalanta,Spezia,77.49,51.06,0.7254,0.1057,0.1689,65.5,42.5,0.5323458783012462,0.29744383919124157,0.34521924853250424,0.3749802005356529,26.7,327000000.0,0.0811153358681876,0.21606642117784522,0.1661458315296105,0.22990070687982084,0.24308266232330766,25.55,50000000.0,0.32,3.0,0.0,5.0,1.5,3
1374,2021-11-20,2021,11,5,2411,Premier League,Aston Villa,Brighton,70.01,76.08,0.3729,0.3578,0.2692,27.7,21.6,0.48295549582059105,0.2641824751926173,0.31034869192029135,0.27988991288025894,27.8,464000000.0,0.1023474178403756,0.5257685188504323,0.5118643275253537,0.455386871631465,0.46921622069536023,25.6,313000000.0,0.5660919540229884,3.0,0.0,7.0,7.0,2
